sourceurl,source,target,targeturl,value
"http://www.agilelearner.com//presentation/6","Refactoring to Lambda Expressions in Java","Internal vs External Iterators","http://www.agilelearner.com/presentation/2","1"
"http://www.agilelearner.com//presentation/26","Levels of Encapsulation—Part I","Levels of Encapsulation—Part II","http://www.agilelearner.com/presentation/27","1"
"http://www.agilelearner.com//presentation/74","Operator Overloading in Groovy","Groovy Operators","http://www.agilelearner.com/presentation/100","1"
"http://www.agilelearner.com//presentation/117","Multimethods","Designing with Multimethods","http://www.agilelearner.com/presentation/125","1"
"http://www.agilelearner.com//presentation/137","Creating Closures in Groovy","Parameters of Groovy Closures","http://www.agilelearner.com/presentation/134","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Creating Closures in Groovy","http://www.agilelearner.com/presentation/137","1"
"http://www.agilelearner.com//presentation/134","Parameters of Groovy Closures","Using Closures in Groovy","http://www.agilelearner.com/presentation/143","1"
"http://www.agilelearner.com//presentation/143","Using Closures in Groovy","Groovy Closures and Delegates","http://www.agilelearner.com/presentation/151","1"
"http://www.agilelearner.com//presentation/151","Groovy Closures and Delegates","Groovy Delegate Usage in Interface Fluency","http://www.agilelearner.com/presentation/154","1"
"http://www.agilelearner.com//presentation/154","Groovy Delegate Usage in Interface Fluency","Groovy Delegate Usage in Method Injection","http://www.agilelearner.com/presentation/160","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Currying in Groovy","http://www.agilelearner.com/presentation/166","1"
"http://www.agilelearner.com//presentation/137","Creating Closures in Groovy","Currying in Groovy","http://www.agilelearner.com/presentation/166","1"
"http://www.agilelearner.com//presentation/166","Currying in Groovy","Currying in Groovy—Part II","http://www.agilelearner.com/presentation/171","1"
"http://www.agilelearner.com//presentation/171","Currying in Groovy—Part II","Currying in Groovy—Part III","http://www.agilelearner.com/presentation/176","1"
"http://www.agilelearner.com//presentation/134","Parameters of Groovy Closures","Designing with Groovy Closures—Part I","http://www.agilelearner.com/presentation/180","1"
"http://www.agilelearner.com//presentation/180","Designing with Groovy Closures—Part I","Designing with Groovy Closures—Part II","http://www.agilelearner.com/presentation/186","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Groovy Closure Thread Methods","http://www.agilelearner.com/presentation/190","1"
"http://www.agilelearner.com//presentation/137","Creating Closures in Groovy","Groovy Closure Thread Methods","http://www.agilelearner.com/presentation/190","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Groovy Interfaces: Part I","http://www.agilelearner.com/presentation/200","1"
"http://www.agilelearner.com//presentation/137","Creating Closures in Groovy","Groovy Interfaces: Part I","http://www.agilelearner.com/presentation/200","1"
"http://www.agilelearner.com//presentation/200","Groovy Interfaces: Part I","Groovy Interfaces: Part II","http://www.agilelearner.com/presentation/205","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Groovy Interfaces: Part II","http://www.agilelearner.com/presentation/205","1"
"http://www.agilelearner.com//presentation/137","Creating Closures in Groovy","Groovy Interfaces: Part II","http://www.agilelearner.com/presentation/205","1"
"http://www.agilelearner.com//presentation/205","Groovy Interfaces: Part II","Groovy Interfaces: Part III","http://www.agilelearner.com/presentation/210","1"
"http://www.agilelearner.com//presentation/125","Designing with Multimethods","Groovy Interfaces: Part III","http://www.agilelearner.com/presentation/210","1"
"http://www.agilelearner.com//presentation/117","Multimethods","Groovy Interfaces: Part III","http://www.agilelearner.com/presentation/210","1"
"http://www.agilelearner.com//presentation/55","Range Object in Groovy","Groovy subList vs. range","http://www.agilelearner.com/presentation/216","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Groovy Method Call Fluency: Part I","http://www.agilelearner.com/presentation/220","1"
"http://www.agilelearner.com//presentation/137","Creating Closures in Groovy","Groovy Method Call Fluency: Part I","http://www.agilelearner.com/presentation/220","1"
"http://www.agilelearner.com//presentation/186","Designing with Groovy Closures—Part II","Groovy Method Call Fluency: Part I","http://www.agilelearner.com/presentation/220","1"
"http://www.agilelearner.com//presentation/180","Designing with Groovy Closures—Part I","Groovy Method Call Fluency: Part I","http://www.agilelearner.com/presentation/220","1"
"http://www.agilelearner.com//presentation/132","Groovy Closures","Groovy Method Call Fluency: Part II","http://www.agilelearner.com/presentation/225","1"
"http://www.agilelearner.com//presentation/220","Groovy Method Call Fluency: Part I","Groovy Method Call Fluency: Part II","http://www.agilelearner.com/presentation/225","1"
"http://www.agilelearner.com//presentation/220","Groovy Method Call Fluency: Part I","Groovy Mixing Parameters and Hashmaps","http://www.agilelearner.com/presentation/230","1"
"http://www.agilelearner.com//presentation/225","Groovy Method Call Fluency: Part II","Groovy Mixing Parameters and Hashmaps","http://www.agilelearner.com/presentation/230","1"
"http://www.agilelearner.com//presentation/230","Groovy Mixing Parameters and Hashmaps","Groovy varargs vs Array","http://www.agilelearner.com/presentation/235","1"
"http://www.agilelearner.com//presentation/230","Groovy Mixing Parameters and Hashmaps","Groovy Named Params Constructor","http://www.agilelearner.com/presentation/241","1"
"http://www.agilelearner.com//presentation/15","Delegation in Groovy—Part I","Groovy Code Generation Annotations","http://www.agilelearner.com/presentation/247","1"
"http://www.agilelearner.com//presentation/16","Delegation in Groovy—Part II","Groovy Code Generation Annotations","http://www.agilelearner.com/presentation/247","1"
"http://www.agilelearner.com//presentation/50","JavaBeans in Groovy—Part 1","Groovy Canonical: Part I","http://www.agilelearner.com/presentation/251","1"
"http://www.agilelearner.com//presentation/241","Groovy Named Params Constructor","Groovy Canonical: Part I","http://www.agilelearner.com/presentation/251","1"
"http://www.agilelearner.com//presentation/247","Groovy Code Generation Annotations","Groovy Canonical: Part I","http://www.agilelearner.com/presentation/251","1"
"http://www.agilelearner.com//presentation/251","Groovy Canonical: Part I","Groovy Canonical: Part II","http://www.agilelearner.com/presentation/254","1"
"http://www.agilelearner.com//presentation/247","Groovy Code Generation Annotations","Groovy Immutable: Part I","http://www.agilelearner.com/presentation/260","1"
"http://www.agilelearner.com//presentation/254","Groovy Canonical: Part II","Groovy Immutable: Part I","http://www.agilelearner.com/presentation/260","1"
"http://www.agilelearner.com//presentation/241","Groovy Named Params Constructor","Groovy Immutable: Part I","http://www.agilelearner.com/presentation/260","1"
"http://www.agilelearner.com//presentation/260","Groovy Immutable: Part I","Groovy Immutable: Part II","http://www.agilelearner.com/presentation/266","1"
"http://www.agilelearner.com//presentation/266","Groovy Immutable: Part II","Groovy Immutable: Part III","http://www.agilelearner.com/presentation/272","1"
"http://www.agilelearner.com//presentation/247","Groovy Code Generation Annotations","Groovy Lazy: Part I","http://www.agilelearner.com/presentation/277","1"
