sourceurl,source,target,targeturl,value
"http://www.agilelearner.com//presentation/6","Refactoring to Lambda Expressions in Java","Internal vs External Iterators","https://www.agilelearner.com/presentation/2","1"
"http://www.agilelearner.com//presentation/2","Internal vs External Iterators","Transforming a List in Java 8","https://www.agilelearner.com/presentation/31","1"
"http://www.agilelearner.com//presentation/31","Transforming a List in Java 8","Filtering a List in Java 8","https://www.agilelearner.com/presentation/32","1"
"http://www.agilelearner.com//presentation/2","Internal vs External Iterators","Reusing Filter Operation in Java 8","https://www.agilelearner.com/presentation/33","1"
"http://www.agilelearner.com//presentation/6","Refactoring to Lambda Expressions in Java","Functional Interfaces in Java 8","https://www.agilelearner.com/presentation/53","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Legacy Interfaces to Functional Interfaces in Java 8-Part-1","https://www.agilelearner.com/presentation/59","1"
"http://www.agilelearner.com//presentation/59","Legacy Interfaces to Functional Interfaces in Java 8-Part-1","Legacy Interfaces to Functional Interfaces in Java 8-Part-2","https://www.agilelearner.com/presentation/64","1"
"http://www.agilelearner.com//presentation/64","Legacy Interfaces to Functional Interfaces in Java 8-Part-2","Creating Functional Interfaces Part-1","https://www.agilelearner.com/presentation/68","1"
"http://www.agilelearner.com//presentation/68","Creating Functional Interfaces Part-1","Creating Functional Interfaces Part-2","https://www.agilelearner.com/presentation/73","1"
"http://www.agilelearner.com//presentation/73","Creating Functional Interfaces Part-2","Creating Functional Interfaces Part-3","https://www.agilelearner.com/presentation/78","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Consumer Functional Interface","https://www.agilelearner.com/presentation/93","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Supplier Functional Interface","https://www.agilelearner.com/presentation/97","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Predicate Functional Interface","https://www.agilelearner.com/presentation/103","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Function Functional Interface","https://www.agilelearner.com/presentation/108","1"
"http://www.agilelearner.com//presentation/6","Refactoring to Lambda Expressions in Java","What are Method References in Java 8","https://www.agilelearner.com/presentation/112","1"
"http://www.agilelearner.com//presentation/112","What are Method References in Java 8","Method Reference to an Instance Method","https://www.agilelearner.com/presentation/118","1"
"http://www.agilelearner.com//presentation/118","Method Reference to an Instance Method","Method Reference to a Static Method","https://www.agilelearner.com/presentation/122","1"
"http://www.agilelearner.com//presentation/122","Method Reference to a Static Method","Method Reference: Passing Parameter as an Argument","https://www.agilelearner.com/presentation/131","1"
"http://www.agilelearner.com//presentation/131","Method Reference: Passing Parameter as an Argument","Method Reference: Passing Parameter as a Target","https://www.agilelearner.com/presentation/135","1"
"http://www.agilelearner.com//presentation/135","Method Reference: Passing Parameter as a Target","Method Reference: Dealing With Ambiguity","https://www.agilelearner.com/presentation/140","1"
"http://www.agilelearner.com//presentation/140","Method Reference: Dealing With Ambiguity","Method Reference: Multiple Parameters","https://www.agilelearner.com/presentation/144","1"
"http://www.agilelearner.com//presentation/140","Method Reference: Dealing With Ambiguity","Method Reference: Revisiting Ambiguity","https://www.agilelearner.com/presentation/149","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Power of Declarative Style in Java 8","https://www.agilelearner.com/presentation/153","1"
"http://www.agilelearner.com//presentation/53","Functional Interfaces in Java 8","Java 8 Static Methods in Interfaces","https://www.agilelearner.com/presentation/159","1"
"http://www.agilelearner.com//presentation/159","Java 8 Static Methods in Interfaces","Java 8 Default Methods","https://www.agilelearner.com/presentation/165","1"
"http://www.agilelearner.com//presentation/165","Java 8 Default Methods","Java 8 Default Methods—Rule 1","https://www.agilelearner.com/presentation/170","1"
"http://www.agilelearner.com//presentation/170","Java 8 Default Methods—Rule 1","Java 8 Default Methods—Rule 2","https://www.agilelearner.com/presentation/175","1"
"http://www.agilelearner.com//presentation/175","Java 8 Default Methods—Rule 2","Java 8 Default Methods—Rule 3","https://www.agilelearner.com/presentation/179","1"
"http://www.agilelearner.com//presentation/179","Java 8 Default Methods—Rule 3","Java 8 Default Methods—Rule 4","https://www.agilelearner.com/presentation/185","1"
"http://www.agilelearner.com//presentation/185","Java 8 Default Methods—Rule 4","Java 8 default Methods and Multiple Inheritance","https://www.agilelearner.com/presentation/191","1"
"http://www.agilelearner.com//presentation/191","Java 8 default Methods and Multiple Inheritance","Java 8 Interfaces vs Abstract Classes","https://www.agilelearner.com/presentation/196","1"
"http://www.agilelearner.com//presentation/196","Java 8 Interfaces vs Abstract Classes","Java 8 Interface Methods","https://www.agilelearner.com/presentation/199","1"
"http://www.agilelearner.com//presentation/204","Java final and Inner Classes—Part I","Java 8 Effectively Final","https://www.agilelearner.com/presentation/214","1"
"http://www.agilelearner.com//presentation/209","Java final and Inner Classes—Part II","Java 8 Effectively Final","https://www.agilelearner.com/presentation/214","1"
"http://www.agilelearner.com//presentation/218","Sorting a Collection","Java 8 Sorted Method","https://www.agilelearner.com/presentation/224","1"
"http://www.agilelearner.com//presentation/218","Sorting a Collection","Java 8 Reverse Sorted Method","https://www.agilelearner.com/presentation/231","1"
"http://www.agilelearner.com//presentation/224","Java 8 Sorted Method","Java 8 Reverse Sorted Method","https://www.agilelearner.com/presentation/231","1"
"http://www.agilelearner.com//presentation/119","Keep it DRY","Java 8 Reverse Sorted Method","https://www.agilelearner.com/presentation/231","1"
"http://www.agilelearner.com//presentation/231","Java 8 Reverse Sorted Method","Java 8 Comparing Method","https://www.agilelearner.com/presentation/234","1"
"http://www.agilelearner.com//presentation/234","Java 8 Comparing Method","Java 8 Multiple Comparisons: Part I","https://www.agilelearner.com/presentation/240","1"
