sourceurl,source,target,targeturl,value
"http://www.agilelearner.com//presentation/3","Writing Functions in JavaScript","Variable Scoping in JavaScript","https://www.agilelearner.com/presentation/25","1"
"http://www.agilelearner.com//presentation/3","Writing Functions in JavaScript","Arguments in JavaScript","https://www.agilelearner.com/presentation/35","1"
"http://www.agilelearner.com//presentation/34","Function Parameters in JavaScript","Arguments in JavaScript","https://www.agilelearner.com/presentation/35","1"
"http://www.agilelearner.com//presentation/3","Writing Functions in JavaScript","Function Parameters in JavaScript","https://www.agilelearner.com/presentation/34","1"
"http://www.agilelearner.com//presentation/35","Arguments in JavaScript","call vs apply in javascript","https://www.agilelearner.com/presentation/47","1"
"http://www.agilelearner.com//presentation/48","this in JavaScript","call vs apply in javascript","https://www.agilelearner.com/presentation/47","1"
"http://www.agilelearner.com//presentation/35","Arguments in JavaScript","this in JavaScript","https://www.agilelearner.com/presentation/48","1"
"http://www.agilelearner.com//presentation/60","Creating an Object in JavaScript","Creating a Class in JavaScript","https://www.agilelearner.com/presentation/67","1"
"http://www.agilelearner.com//presentation/66","Prototype of an Object","Creating a Class in JavaScript","https://www.agilelearner.com/presentation/67","1"
"http://www.agilelearner.com//presentation/60","Creating an Object in JavaScript","Prototype of an Object","https://www.agilelearner.com/presentation/66","1"
"http://www.agilelearner.com//presentation/67","Creating a Class in JavaScript","Creating an Instance of a Class in JavaScript","https://www.agilelearner.com/presentation/76","1"
"http://www.agilelearner.com//presentation/60","Creating an Object in JavaScript","Creating an Instance of a Class in JavaScript","https://www.agilelearner.com/presentation/76","1"
"http://www.agilelearner.com//presentation/66","Prototype of an Object","Creating an Instance of a Class in JavaScript","https://www.agilelearner.com/presentation/76","1"
"http://www.agilelearner.com//presentation/67","Creating a Class in JavaScript","Adding a Function to a Class in JavaScript","https://www.agilelearner.com/presentation/77","1"
"http://www.agilelearner.com//presentation/77","Adding a Function to a Class in JavaScript","Adding a Function to an Instance in JavaScript","https://www.agilelearner.com/presentation/86","1"
"http://www.agilelearner.com//presentation/77","Adding a Function to a Class in JavaScript","Replacing a Function of an Instance in JavaScript","https://www.agilelearner.com/presentation/91","1"
"http://www.agilelearner.com//presentation/101","Gets are Deep, Sets are Shallow","Examine Properties in JavaScript","https://www.agilelearner.com/presentation/92","1"
"http://www.agilelearner.com//presentation/60","Creating an Object in JavaScript","Gets are Deep, Sets are Shallow","https://www.agilelearner.com/presentation/101","1"
"http://www.agilelearner.com//presentation/66","Prototype of an Object","Gets are Deep, Sets are Shallow","https://www.agilelearner.com/presentation/101","1"
"http://www.agilelearner.com//presentation/67","Creating a Class in JavaScript","Gets are Deep, Sets are Shallow","https://www.agilelearner.com/presentation/101","1"
"http://www.agilelearner.com//presentation/25","Variable Scoping in JavaScript","Using with in JavaScript","https://www.agilelearner.com/presentation/102","1"
"http://www.agilelearner.com//presentation/77","Adding a Function to a Class in JavaScript","Using with in JavaScript","https://www.agilelearner.com/presentation/102","1"
"http://www.agilelearner.com//presentation/76","Creating an Instance of a Class in JavaScript","Using with in JavaScript","https://www.agilelearner.com/presentation/102","1"
"http://www.agilelearner.com//presentation/67","Creating a Class in JavaScript","Inheriting from a Class in JavaScript","https://www.agilelearner.com/presentation/110","1"
"http://www.agilelearner.com//presentation/77","Adding a Function to a Class in JavaScript","Inheriting from a Class in JavaScript","https://www.agilelearner.com/presentation/110","1"
"http://www.agilelearner.com//presentation/47","call vs apply in javascript","Inheriting from a Class in JavaScript","https://www.agilelearner.com/presentation/110","1"
"http://www.agilelearner.com//presentation/48","this in JavaScript","Inheriting from a Class in JavaScript","https://www.agilelearner.com/presentation/110","1"
"http://www.agilelearner.com//presentation/86","Adding a Function to an Instance in JavaScript","Overriding a Function in JavaScript","https://www.agilelearner.com/presentation/114","1"
"http://www.agilelearner.com//presentation/77","Adding a Function to a Class in JavaScript","Overriding a Function in JavaScript","https://www.agilelearner.com/presentation/114","1"
