sourceurl,source,target,targeturl,value
"http://www.agilelearner.com//presentation/6","Refactoring to Lambda Expressions in Java","Internal vs External Iterators","https://www.agilelearner.com/presentation/2","1"
"http://www.agilelearner.com//presentation/28","What's Scala?—Part I","What's Scala?—Part II","https://www.agilelearner.com/presentation/29","1"
"http://www.agilelearner.com//presentation/26","Levels of Encapsulation—Part I","Levels of Encapsulation—Part II","https://www.agilelearner.com/presentation/27","1"
"http://www.agilelearner.com//presentation/29","What's Scala?—Part II","What's Scala?—Part III","https://www.agilelearner.com/presentation/30","1"
"http://www.agilelearner.com//presentation/75","Operator Overloading in Scala","Somersault of Operands in Scala","https://www.agilelearner.com/presentation/81","1"
"http://www.agilelearner.com//presentation/113","Statements vs Expressions","Expressions in Scala","https://www.agilelearner.com/presentation/120","1"
"http://www.agilelearner.com//presentation/38","Using Scala REPL","Expressions in Scala","https://www.agilelearner.com/presentation/120","1"
"http://www.agilelearner.com//presentation/75","Operator Overloading in Scala","Method Precedence in Scala","https://www.agilelearner.com/presentation/123","1"
"http://www.agilelearner.com//presentation/38","Using Scala REPL","Methods and Type Inference in Scala","https://www.agilelearner.com/presentation/130","1"
"http://www.agilelearner.com//presentation/58","Optional Items in Scala","Methods and Type Inference in Scala","https://www.agilelearner.com/presentation/130","1"
"http://www.agilelearner.com//presentation/85","Defining a Function in Scala","Methods and Type Inference in Scala","https://www.agilelearner.com/presentation/130","1"
"http://www.agilelearner.com//presentation/141","Creating a Class in Scala","Class Members in Scala","https://www.agilelearner.com/presentation/142","1"
"http://www.agilelearner.com//presentation/141","Creating a Class in Scala","Singleton in Scala","https://www.agilelearner.com/presentation/148","1"
"http://www.agilelearner.com//presentation/142","Class Members in Scala","Calling a Scala Class from Java","https://www.agilelearner.com/presentation/147","1"
"http://www.agilelearner.com//presentation/148","Singleton in Scala","Companion Objects in Scala","https://www.agilelearner.com/presentation/155","1"
"http://www.agilelearner.com//presentation/155","Companion Objects in Scala","Scala Apply Method","https://www.agilelearner.com/presentation/158","1"
"http://www.agilelearner.com//presentation/158","Scala Apply Method","Scala Update Method","https://www.agilelearner.com/presentation/163","1"
"http://www.agilelearner.com//presentation/163","Scala Update Method","Using Apply and Update in Scala","https://www.agilelearner.com/presentation/168","1"
"http://www.agilelearner.com//presentation/85","Defining a Function in Scala","Scala Implicit Methods","https://www.agilelearner.com/presentation/174","1"
"http://www.agilelearner.com//presentation/158","Scala Apply Method","Scala Implicit Methods","https://www.agilelearner.com/presentation/174","1"
"http://www.agilelearner.com//presentation/174","Scala Implicit Methods","Using Java Collections from Scala","https://www.agilelearner.com/presentation/178","1"
"http://www.agilelearner.com//presentation/178","Using Java Collections from Scala","Using Scala Collections from Java","https://www.agilelearner.com/presentation/184","1"
"http://www.agilelearner.com//presentation/38","Using Scala REPL","Scala Any","https://www.agilelearner.com/presentation/192","1"
"http://www.agilelearner.com//presentation/130","Methods and Type Inference in Scala","Scala Any","https://www.agilelearner.com/presentation/192","1"
"http://www.agilelearner.com//presentation/192","Scala Any","Scala Nothing is Everything","https://www.agilelearner.com/presentation/197","1"
"http://www.agilelearner.com//presentation/192","Scala Any","Scala Pattern Matching","https://www.agilelearner.com/presentation/198","1"
"http://www.agilelearner.com//presentation/198","Scala Pattern Matching","Scala Matching Literals","https://www.agilelearner.com/presentation/203","1"
"http://www.agilelearner.com//presentation/203","Scala Matching Literals","Scala Matching Types","https://www.agilelearner.com/presentation/208","1"
"http://www.agilelearner.com//presentation/208","Scala Matching Types","Scala Matching Tuples","https://www.agilelearner.com/presentation/213","1"
"http://www.agilelearner.com//presentation/208","Scala Matching Types","Scala Matching Tuples with Types","https://www.agilelearner.com/presentation/219","1"
"http://www.agilelearner.com//presentation/213","Scala Matching Tuples","Scala Matching Tuples with Types","https://www.agilelearner.com/presentation/219","1"
"http://www.agilelearner.com//presentation/213","Scala Matching Tuples","Scala Matching Lists","https://www.agilelearner.com/presentation/223","1"
"http://www.agilelearner.com//presentation/219","Scala Matching Tuples with Types","Scala Matching Lists","https://www.agilelearner.com/presentation/223","1"
"http://www.agilelearner.com//presentation/221","Treat Warnings as Error","Scala Matching Lists","https://www.agilelearner.com/presentation/223","1"
"http://www.agilelearner.com//presentation/223","Scala Matching Lists","Scala Matching and Capturing List Values","https://www.agilelearner.com/presentation/232","1"
"http://www.agilelearner.com//presentation/232","Scala Matching and Capturing List Values","Scala Matching with Guards","https://www.agilelearner.com/presentation/233","1"
"http://www.agilelearner.com//presentation/233","Scala Matching with Guards","Scala Matching Constants","https://www.agilelearner.com/presentation/239","1"
"http://www.agilelearner.com//presentation/239","Scala Matching Constants","Scala Matching XML: Part I","https://www.agilelearner.com/presentation/245","1"
"http://www.agilelearner.com//presentation/8","Creating xml using Scala","Scala Matching XML: Part I","https://www.agilelearner.com/presentation/245","1"
"http://www.agilelearner.com//presentation/245","Scala Matching XML: Part I","Scala Matching XML: Part II","https://www.agilelearner.com/presentation/249","1"
"http://www.agilelearner.com//presentation/257","Scala Matching XML: Part III","Scala Matching XML: Part IV","https://www.agilelearner.com/presentation/258","1"
"http://www.agilelearner.com//presentation/249","Scala Matching XML: Part II","Scala Matching XML: Part III","https://www.agilelearner.com/presentation/257","1"
"http://www.agilelearner.com//presentation/233","Scala Matching with Guards","Scala Matching XML: Part III","https://www.agilelearner.com/presentation/257","1"
"http://www.agilelearner.com//presentation/85","Defining a Function in Scala","Scala Partial Functions: Part I","https://www.agilelearner.com/presentation/263","1"
"http://www.agilelearner.com//presentation/263","Scala Partial Functions: Part I","Scala Partial Functions: Part II","https://www.agilelearner.com/presentation/268","1"
"http://www.agilelearner.com//presentation/198","Scala Pattern Matching","Scala Partial Functions: Part II","https://www.agilelearner.com/presentation/268","1"
"http://www.agilelearner.com//presentation/268","Scala Partial Functions: Part II","Scala Partial Functions: Part III","https://www.agilelearner.com/presentation/274","1"
"http://www.agilelearner.com//presentation/158","Scala Apply Method","Scala Partial Functions: Part III","https://www.agilelearner.com/presentation/274","1"
"http://www.agilelearner.com//presentation/274","Scala Partial Functions: Part III","Scala Partial Functions: Part IV","https://www.agilelearner.com/presentation/278","1"
"http://www.agilelearner.com//presentation/85","Defining a Function in Scala","Scala Function Application","https://www.agilelearner.com/presentation/284","1"
"http://www.agilelearner.com//presentation/90","Function Invocation Weirdness in Scala","Scala Function Application","https://www.agilelearner.com/presentation/284","1"
"http://www.agilelearner.com//presentation/284","Scala Function Application","Scala Partially Applied Functions","https://www.agilelearner.com/presentation/289","1"
"http://www.agilelearner.com//presentation/278","Scala Partial Functions: Part IV","Scala Partially Applied Functions","https://www.agilelearner.com/presentation/289","1"
"http://www.agilelearner.com//presentation/178","Using Java Collections from Scala","Underscores of Scala: Part I","https://www.agilelearner.com/presentation/293","1"
"http://www.agilelearner.com//presentation/81","Somersault of Operands in Scala","Underscores of Scala: Part I","https://www.agilelearner.com/presentation/293","1"
"http://www.agilelearner.com//presentation/293","Underscores of Scala: Part I","Underscores of Scala: Part II","https://www.agilelearner.com/presentation/298","1"
"http://www.agilelearner.com//presentation/81","Somersault of Operands in Scala","Underscores of Scala: Part II","https://www.agilelearner.com/presentation/298","1"
